01	3,5,8,9,10,11,20,57,149,159,277,446
02	13,19,22,26,27,30,69,72,106,113,119,131,155,161,162,175,190,191,199,200,207,228,254,261,266,287,360,372,390,420,474,529,536,549,720,1295,1443,3424,4352,5118,5355,7723,7843,13643,15219,16006,16176,18779,20106,20411
03	60
04	4,6,17,18,21,33,37,39,46,55,61,76,81,96,100,109,115,120,160,178,180,182,203,213,288,377,393,427,430,508,1038,1254,1571,2339,3514,5181,13983
05	103,317
06	0,2,7,12,15,38,42,44,97,140,148,399,410,599,1299,1917
07	1,23,24,31,41,48,53,54,56,65,71,79,80,83,89,98,99,101,111,112,122,137,139,183,196,211,218,234,260,280,310,321,338,493,501,609,765,949,1052,1072,1967
08	201,271,425,497,953,970
09	66
10	210
11	64
12	138
13	418,444,495,502,519,524,602,624,681,709,784,799,820,830,867,1000,1026,1089,1090,1108,1111,1112,1144,1155,1169,1222,1226,1228,1257,1265,1274,1289,1309,1313,1320,1325,1334,1343,1348,1374,1407,1442,1448,1462,1463,1471,1478,1490,1493,1496,1520,1523,1524,1550,1553,1577,1609,1614,1616,1637,1667,1669,1672,1707,1722,1766,1788,1802,1812,1822,1825,1834,1835,1842,1863,1864,1866,1884,1903,1910,1915,1935,1957,1963,1994,2011,2027,2049,2056,2059,2070,2080,2092,2140,2151,2155,2165,2178,2182,2197,2206,2211,2212,2219,2222,2236,2248,2249,2255,2256,2263,2269,2272,2277,2286,2289,2313,2314,2338,2343,2344,2345,2360,2369,2375,2376,2389,2410,2427,2435,2448,2457,2458,2459,2467,2479,2482,2499,2527,2528,2540,2557,2559,2562,2577,2587,2598,2614,2627,2635,2636,2638,2645,2649,2652,2662,2688,2695,2704,2706,2708,2720,2731,2735,2736,2748,2750,2766,2769,2778,2788,2791,2824,2829,2851,2862,2881,2917,2930,2936,2943,2945,2957,2969,2975,2980,3007,3009,3011,3031,3037,3049,3060,3094,3128,3130,3180,3186,3195,3205,3216,3254,3259,3264,3275,3281,3297,3309,3314,3318,3325,3348,3363,3370,3390,3395,3415,3418,3421,3473,3476,3482,3494,3495,3534,3535,3567,3586,3619,3621,3634,3638,3644,3653,3685,3687,3697,3714,3717,3735,3745,3756,3764,3770,3783,3791,3807,3816,3818,3838,3841,3846,3849,3854,3893,3897,3919,3923,3963,3968,3970,3974,3975,3976,4008,4010,4011,4022,4023,4024,4030,4033,4036,4039,4041,4067,4097,4109,4118,4140,4149,4150,4163,4171,4177,4181,4185,4207,4211,4222,4251,4252,4257,4260,4276,4286,4312,4323,4324,4335,4340,4346,4362,4400,4440,4455,4460,4474,4477,4488,4490,4495,4496,4499,4500,4502,4518,4526,4536,4537,4567,4571,4591,4605,4614,4623,4634,4646,4648,4649,4651,4659,4660,4692,4713,4748,4773,4778,4790,4791,4796,4819,4824,4832,4839,4852,4854,4862,4890,4894,4914,4940,4956,4963,4986,4987,4994,5029,5034,5035,5048,5075,5078,5091,5133,5147,5153,5158,5167,5183,5188,5210,5219,5243,5244,5261,5263,5268,5271,5289,5297,5300,5319,5342,5348,5376,5380,5400,5412,5418,5424,5447,5449,5488,5489,5501,5507,5517,5521,5527,5563,5570,5574,5597,5602,5605,5636,5638,5651,5672,5686,5688,5690,5704,5732,5751,5765,5769,5794,5805,5809,5827,5844,5850,5854,5866,5876,5891,5894,5927,5930,5934,5957,5961,5974,5976,5989,5995,6000,6035,6038,6058,6068,6071,6073,6079,6086,6088,6098,6103,6116,6131,6137,6142,6157,6159,6163,6167,6176,6195,6206,6236,6258,6295,6296,6308,6346,6360,6383,6384,6385,6389,6402,6405,6417,6419,6427,6432,6451,6460,6473,6483,6484,6486,6490,6492,6497,6498,6501,6504,6506,6532,6554,6570,6597,6599,6612,6633,6642,6644,6675,6677,6679,6703,6704,6713,6720,6734,6736,6753,6755,6769,6779,6799,6802,6804,6827,6865,6867,6871,6907,6970,7019,7031,7037,7048,7049,7073,7093,7105,7121,7122,7154,7163,7165,7166,7182,7197,7211,7216,7229,7235,7236,7239,7244,7247,7250,7268,7270,7272,7291,7312,7316,7336,7337,7379,7416,7425,7429,7436,7445,7451,7457,7463,7472,7479,7491,7493,7500,7521,7537,7542,7553,7564,7586,7588,7601,7626,7630,7680,7713,7732,7733,7741,7746,7751,7756,7759,7768,7773,7776,7782,7789,7837,7842,7854,7863,7889,7897,7914,7924,7939,7952,7970,7989,7999,8063,8080,8103,8113,8146,8150,8182,8218,8243,8256,8288,8305,8312,8315,8331,8343,8355,8388,8397,8404,8412,8434,8473,8480,8518,8525,8570,8572,8590,8600,8605,8611,8625,8627,8637,8642,8645,8647,8690,8702,8707,8716,8737,8746,8750,8767,8787,8789,8792,8811,8819,8821,8849,8850,8852,8857,8874,8912,8939,8973,8974,8982,8999,9002,9024,9034,9048,9091,9118,9119,9144,9165,9172,9184,9188,9201,9206,9227,9304,9321,9333,9336,9357,9380,9391,9405,9412,9432,9434,9463,9466,9488,9492,9494,9521,9522,9539,9543,9563,9585,9588,9611,9627,9687,9690,9694,9695,9727,9735,9743,9745,9755,9758,9798,9806,9819,9830,9834,9867,9876,9884,9945,9960,10016,10051,10063,10092,10110,10123,10152,10174,10182,10208,10223,10249,10253,10258,10259,10279,10293,10295,10310,10324,10338,10344,10355,10368,10408,10426,10429,10442,10452,10457,10469,10482,10488,10518,10528,10540,10578,10591,10602,10618,10650,10659,10662,10686,10699,10703,10704,10707,10716,10722,10733,10739,10752,10757,10770,10806,10821,10839,10851,10863,10872,10890,10903,10927,10931,10954,11006,11033,11044,11067,11069,11092,11103,11116,11122,11138,11164,11170,11181,11190,11202,11242,11247,11304,11314,11323,11327,11330,11335,11375,11385,11392,11398,11404,11422,11435,11459,11467,11471,11491,11523,11541,11551,11623,11627,11639,11641,11649,11677,11687,11689,11699,11731,11754,11785,11807,11824,11867,11875,11899,11904,11914,11929,11949,11977,11990,11997,12005,12036,12080,12113,12129,12157,12161,12164,12169,12172,12183,12212,12215,12218,12221,12231,12254,12265,12270,12274,12289,12339,12349,12370,12379,12402,12413,12418,12478,12481,12497,12500,12511,12527,12547,12561,12572,12581,12614,12637,12664,12674,12722,12729,12737,12800,12820,12821,12830,12842,12858,12887,12896,12977,12978,13034,13041,13046,13052,13097,13105,13161,13167,13208,13209,13220,13232,13256,13262,13283,13299,13307,13314,13357,13367,13379,13395,13401,13420,13440,13446,13460,13494,13497,13536,13574,13577,13580,13602,13616,13619,13633,13655,13669,13673,13704,13719,13740,13752,13786,13796,13832,13841,13848,13862,13878,13908,13918,13919,13928,13929,13934,13936,14009,14022,14059,14088,14102,14104,14108,14109,14135,14142,14210,14236,14239,14248,14287,14291,14323,14330,14349,14398,14420,14452,14453,14516,14517,14522,14572,14600,14670,14700,14717,14744,14755,14775,14794,14827,14829,14838,14840,14876,14929,14948,14964,14966,15017,15028,15036,15062,15093,15112,15133,15134,15178,15221,15223,15254,15262,15288,15328,15350,15379,15391,15397,15422,15445,15447,15448,15484,15515,15566,15579,15625,15627,15648,15653,15655,15662,15743,15756,15811,15813,15822,15837,15840,15850,15896,15913,15938,15949,16005,16007,16013,16026,16062,16094,16116,16117,16159,16161,16215,16278,16290,16292,16298,16310,16367,16384,16408,16415,16424,16435,16436,16468,16492,16511,16523,16537,16577,16647,16671,16681,16735,16762,16769,16782,16835,16873,16936,16962,16983,16990,17006,17044,17056,17066,17070,17079,17110,17121,17166,17194,17241,17262,17281,17292,17293,17333,17354,17359,17386,17398,17409,17414,17483,17517,17570,17630,17662,17687,17698,17719,17729,17732,17751,17818,17822,17843,17858,17889,17936,17941,17955,17985,18021,18025,18027,18047,18071,18074,18118,18192,18217,18221,18227,18237,18271,18290,18317,18395,18416,18449,18480,18481,18525,18538,18581,18599,18682,18699,18719,18778,18793,18800,18822,18825,18877,18886,18887,18924,18929,18938,18953,18957,18965,19035,19061,19107,19139,19158,19164,19175,19197,19208,19213,19239,19282,19310,19323,19366,19376,19407,19408,19426,19436,19486,19542,19577,19615,19640,19657,19696,19699,19700,19725,19733,19752,19754,19759,19811,19836,19837,19840,19847,19871,19939,19946,19969,19980,20040,20045,20152,20212,20221,20251,20280,20283,20325,20345,20355,20440,20462,20468,20503,21001,23692,24210,26065,26492,28511,28518,30831,32290
14	559
15	197,227,257,281,290,292,318,335,352,378,388,426,441,470,471,479,486,505,510,525,580,587,589,600,617,620,628,655,662,663,668,673,675,682,701,705,711,725,747,754,755,762,767,777,790,838,858,880,895,897,920,967,998,1006,1017,1049,1050,1059,1067,1078,1131,1146,1165,1167,1183,1234,1241,1312,1327,1337,1400,1405,1420,1460,1484,1531,1543,1547,1549,1601,1641,1717,1733,1738,1789,1791,1827,1854,1879,1925,1996,2021,2035,2038,2044,2084,2091,2104,2107,2367,2397,2421,2426,2432,2497,2516,2643,2684,2698,2707,2874,2876,2889,3024,3032,3176,3409,3562,3568,3593,3595,3608,3641,3681,3819,3914,3932,3992,4044,4175,4186,4280,4282,4363,4475,4505,4550,4585,4607,4799,4806,4843,4981,5008,5254,5288,5332,5343,5398,5407,5430,5467,5633,5678,5879,5950,6060,6400,6480,6581,6828,7292,7328,7423,7602,8173,8809,8830,9062,9070,9340,10181,10504,10506,11413,11815,12360,12914,14196,15235,16143,16366,17341
16	176,187,363,1513
