id	nhit	hits
scaffold_1	10	NP_286654,NP_417645,YP_002290919,YP_007354398,YP_008058925,YP_008058926,YP_009012396,YP_009012397,YP_009015561,YP_009165462
scaffold_2	6	NP_417179,NP_932363,YP_009015381,YP_009206301,YP_238637,YP_950598
scaffold_3	3	YP_004894587,YP_009012396,YP_009015580
scaffold_5	1	YP_007354398
scaffold_6	1	YP_002875699
scaffold_8	2	YP_009012396,YP_009012397
scaffold_9	1	YP_009196617
scaffold_10	1	YP_002875699
scaffold_11	3	YP_007348470,YP_009012396,YP_009015561
scaffold_13	1	YP_007674390
scaffold_14	1	YP_004306889
scaffold_15	1	YP_009015561
scaffold_16	2	NP_417645,YP_009015580
scaffold_17	1	YP_009003341
scaffold_18	1	NP_807108
scaffold_19	2	YP_004306893,YP_008438547
scaffold_20	1	YP_009015561
scaffold_21	1	YP_002290938
scaffold_22	1	NP_046717
scaffold_23	1	YP_003969738
scaffold_24	2	YP_003970036,YP_009150853
scaffold_27	1	YP_009015561
scaffold_28	2	NP_417645,YP_009223776
scaffold_29	1	YP_009015381
scaffold_33	1	YP_009012396
scaffold_34	1	NP_417179
scaffold_35	2	YP_009012396,YP_009012397
scaffold_36	1	NP_839905
scaffold_38	1	YP_398602
scaffold_39	1	NP_807108
scaffold_40	2	YP_004306889,YP_009003341
scaffold_41	2	YP_009102085,YP_009145913
scaffold_42	1	YP_002875699
scaffold_44	3	NP_417179,YP_004306889,YP_009003341
scaffold_45	1	NP_418015
scaffold_47	1	YP_009213821
scaffold_48	1	YP_009195802
scaffold_49	1	YP_398605
scaffold_52	2	NP_417179,YP_009003341
scaffold_56	1	YP_009012397
scaffold_62	1	YP_009015561
scaffold_64	2	YP_009223762,YP_293777
scaffold_66	1	YP_002875699
scaffold_67	1	NP_418015
scaffold_71	2	NP_932363,YP_007354398
scaffold_80	1	YP_293777
scaffold_83	1	YP_007674390
scaffold_90	1	YP_238737
scaffold_91	1	YP_009015381
scaffold_93	1	YP_009012397
scaffold_94	3	NP_048965,YP_007674419,YP_009134434
scaffold_95	2	NP_839905,YP_009008359
scaffold_98	1	YP_009173627
scaffold_99	1	YP_009147124
scaffold_101	2	YP_009012396,YP_009012397
scaffold_111	1	YP_006987334
scaffold_115	1	YP_009015580
scaffold_116	1	NP_417179
scaffold_121	1	YP_009012396
scaffold_128	1	YP_293777
scaffold_136	1	NP_044832
scaffold_147	1	YP_293777
scaffold_148	4	NP_048965,YP_001426763,YP_007674420,YP_009205333
scaffold_157	1	YP_009015580
scaffold_160	1	YP_009003341
scaffold_170	2	YP_009002822,YP_009003341
scaffold_172	2	NP_945097,YP_009201973
scaffold_173	1	YP_002875699
scaffold_182	1	NP_312084
scaffold_183	1	YP_007354398
scaffold_184	1	YP_009012396
scaffold_187	1	YP_009012397
scaffold_191	2	NP_048965,YP_009012396
scaffold_192	1	YP_293777
scaffold_202	1	YP_009015580
scaffold_203	1	YP_006987334
scaffold_207	1	YP_007354398
scaffold_212	1	YP_002875699
scaffold_217	2	YP_238637,YP_398563
scaffold_240	1	YP_358798
scaffold_244	1	YP_009015580
scaffold_247	1	YP_009003341
scaffold_249	1	YP_009015561
scaffold_253	1	YP_009003341
scaffold_262	2	NP_417179,YP_008319823
scaffold_265	2	YP_001285809,YP_009218063
scaffold_267	1	YP_009003341
scaffold_268	2	YP_008767260,YP_009153013
scaffold_271	1	YP_007354398
scaffold_287	2	YP_009012397,YP_238637
scaffold_289	1	YP_002875699
scaffold_292	1	NP_286654
scaffold_299	1	YP_009015580
scaffold_302	1	YP_009015561
scaffold_304	1	YP_009195802
