id	nhit	hits
scaffold_0	4	VFG013286,VFG005316,VFG002182,VFG013368
scaffold_1	2	VFG001826,VFG041304
scaffold_2	1	VFG006717
scaffold_3	2	VFG000080,VFG000077
scaffold_4	2	VFG001855,VFG005313
scaffold_6	1	VFG002190
scaffold_8	1	VFG002162
scaffold_9	3	VFG000079,VFG001855,VFG013265
scaffold_10	4	VFG000077,VFG000079,VFG001855,VFG001386
scaffold_13	2	VFG005316,VFG002377
scaffold_21	1	VFG001374
scaffold_24	1	VFG013286
scaffold_27	2	VFG001826,VFG041304
scaffold_28	1	VFG002480
scaffold_31	1	VFG000232
scaffold_32	1	VFG000077
scaffold_33	1	VFG000079
scaffold_37	4	VFG013286,VFG000964,VFG002225,VFG002364
scaffold_38	1	VFG006717
scaffold_40	1	VFG009570
scaffold_43	1	VFG001855
scaffold_47	2	VFG002144,VFG001259
scaffold_48	1	VFG001967
scaffold_49	1	VFG006717
scaffold_51	2	VFG001855,VFG013368
scaffold_52	1	VFG001855
scaffold_55	1	VFG000232
scaffold_72	2	VFG001967,VFG000963
scaffold_74	2	VFG006717,VFG000964
scaffold_78	1	VFG013286
scaffold_81	1	VFG013286
scaffold_90	1	VFG037100
scaffold_94	1	VFG002377
scaffold_103	6	VFG013286,VFG002376,VFG000077,VFG002377,VFG002182,VFG002162
scaffold_104	1	VFG000077
scaffold_113	1	VFG000080
scaffold_115	2	VFG000463,VFG001867
scaffold_136	1	VFG000077
scaffold_140	2	VFG001967,VFG000963
scaffold_143	1	VFG013465
scaffold_150	3	VFG000252,VFG005313,VFG001348
scaffold_154	1	VFG000079
scaffold_163	1	VFG013412
scaffold_166	1	VFG001373
scaffold_172	3	VFG000079,VFG001855,VFG001386
scaffold_190	1	VFG001855
scaffold_199	1	VFG001249
scaffold_200	1	VFG000079
scaffold_204	1	VFG017856
scaffold_209	2	VFG001855,VFG000077
scaffold_212	1	VFG001347
scaffold_215	5	VFG000555(2),VFG000557,VFG000551,VFG000533
scaffold_224	3	VFG000963,VFG002225,VFG002364
scaffold_226	1	VFG000079
scaffold_227	1	VFG013286
scaffold_245	1	VFG006717
scaffold_262	3	VFG000963,VFG002225,VFG002364
scaffold_264	4	VFG002480,VFG002365,VFG002364,VFG001369
scaffold_281	5	VFG000362,VFG000361,VFG000360,VFG000358,VFG000359
scaffold_285	16	VFG043209,VFG043208,VFG002356,VFG002357,VFG043212,VFG043213,VFG002529,VFG043211,VFG043205,VFG043207,VFG043206,VFG002358,VFG002318,VFG002319,VFG002359,VFG043210
scaffold_286	1	VFG000079
scaffold_296	1	VFG000077
scaffold_308	1	VFG006717
scaffold_309	9	VFG000925,VFG000924,VFG000934,VFG000926,VFG000932,VFG000933,VFG000931,VFG044165,VFG000928
scaffold_310	1	VFG013286
scaffold_311	1	VFG001338
scaffold_322	2	VFG013248,VFG013242
scaffold_323	8	VFG000457,VFG000459,VFG000458,VFG013436,VFG000460,VFG000461,VFG000462,VFG004125
scaffold_340	1	VFG034873
scaffold_343	2	VFG034849(2)
scaffold_351	1	VFG001338
scaffold_355	3	VFG001376,VFG001375,VFG001374
scaffold_363	1	VFG013286
scaffold_365	1	VFG041304
scaffold_379	1	VFG013286
scaffold_382	1	VFG000079
scaffold_386	28	VFG000828,VFG000820,VFG000823,VFG000824,VFG000825,VFG000826,VFG000827,VFG000802,VFG000800,VFG000801,VFG000806,VFG000807,VFG000804,VFG000805,VFG000808,VFG000809,VFG000739,VFG000811,VFG000810,VFG000813,VFG000812,VFG000833,VFG000814,VFG000817,VFG000816,VFG000819,VFG000818,VFG000830
scaffold_387	2	VFG002365,VFG002364
scaffold_393	1	VFG001855
scaffold_397	1	VFG017856
scaffold_399	1	VFG042870
