id	nhit	hits
scaffold_0	4	RF0142,RF0024,RF0165,RF0144
scaffold_1	1	RF0024
scaffold_2	5	RF0164(2),RF0007,RF0017,RF0148
scaffold_4	2	RF0107,RF0148
scaffold_5	2	RF0142(2)
scaffold_6	2	RF0148(2)
scaffold_7	1	RF0142
scaffold_8	1	RF0140
scaffold_11	1	RF0142
scaffold_15	1	RF0007
scaffold_16	1	RF0142
scaffold_18	1	RF0148
scaffold_19	1	RF0007
scaffold_26	2	RF0063,RF0139
scaffold_27	3	RF0142,RF0024,RF0045
scaffold_28	1	RF0148
scaffold_32	1	RF0133
scaffold_33	1	RF0165
scaffold_36	1	RF0007
scaffold_38	2	RF0142,RF0024
scaffold_39	1	RF0142
scaffold_41	1	RF0154
scaffold_42	1	RF0142
scaffold_46	1	RF0142
scaffold_47	1	RF0024
scaffold_49	3	RF0142(2),RF0007
scaffold_51	2	RF0142(2)
scaffold_53	1	RF0148
scaffold_57	1	RF0024
scaffold_61	3	RF0142,RF0024,RF0144
scaffold_66	1	RF0142
scaffold_67	1	RF0024
scaffold_68	1	RF0142
scaffold_74	1	RF0142
scaffold_76	1	RF0148
scaffold_79	1	RF0148
scaffold_80	2	RF0142,RF0139
scaffold_82	2	RF0154,RF0155
scaffold_88	2	RF0142,RF0140
scaffold_89	1	RF0148
scaffold_90	1	RF0024
scaffold_94	1	RF0007
scaffold_101	1	RF0142
scaffold_102	1	RF0142
scaffold_103	1	RF0038
scaffold_104	2	RF0017,RF0164
scaffold_108	1	RF0142
scaffold_112	2	RF0142(2)
scaffold_118	1	RF0007
scaffold_120	2	RF0007,RF0142
scaffold_121	1	RF0142
scaffold_123	1	RF0142
scaffold_124	1	RF0065
scaffold_130	1	RF0142
scaffold_141	1	RF0142
scaffold_145	1	RF0142
scaffold_147	1	RF0142
scaffold_148	1	RF0142
scaffold_149	2	RF0142,RF0024
scaffold_151	2	RF0024(2)
scaffold_156	1	RF0148
scaffold_159	1	RF0024
scaffold_161	1	RF0142
scaffold_162	1	RF0045
scaffold_172	2	RF0063,RF0139
scaffold_179	1	RF0017
scaffold_183	2	RF0148,RF0024
scaffold_188	1	RF0142
scaffold_189	1	RF0142
scaffold_194	2	RF0088,RF0089
scaffold_195	2	RF0148(2)
scaffold_196	1	RF0144
scaffold_203	1	RF0142
scaffold_205	1	RF0142
scaffold_208	1	RF0142
scaffold_218	1	RF0142
scaffold_222	1	RF0148
scaffold_223	1	RF0148
scaffold_227	1	RF0007
scaffold_228	1	RF0142
scaffold_230	1	RF0142
scaffold_238	1	RF0142
scaffold_242	2	RF0148(2)
scaffold_247	1	RF0142
scaffold_249	1	RF0142
scaffold_251	1	RF0144
scaffold_253	1	RF0144
scaffold_267	1	RF0142
scaffold_270	1	RF0142
scaffold_277	1	RF0142
scaffold_281	1	RF0148
scaffold_284	1	RF0142
scaffold_293	1	RF0142
scaffold_302	2	RF0017,RF0101
scaffold_311	1	RF0112
scaffold_316	1	RF0142
scaffold_340	1	RF0142
scaffold_348	1	RF0039
scaffold_349	1	RF0142
scaffold_352	1	RF0142
scaffold_378	1	RF0024
scaffold_397	1	RF0142
scaffold_411	1	RF0142
scaffold_415	1	RF0024
scaffold_416	1	RF0148
scaffold_426	1	RF0142
scaffold_432	2	RF0154,RF0155
scaffold_433	1	RF0142
scaffold_449	1	RF0024
scaffold_456	1	RF0142
scaffold_474	1	RF0007
scaffold_475	1	RF0142
scaffold_481	1	RF0007
scaffold_488	1	RF0142
scaffold_497	1	RF0148
scaffold_498	1	RF0017
scaffold_509	2	RF0007,RF0165
scaffold_522	1	RF0148
scaffold_523	1	RF0142
scaffold_536	1	RF0142
scaffold_548	1	RF0007
scaffold_550	2	RF0017,RF0164
scaffold_551	2	RF0017,RF0164
scaffold_566	1	RF0148
scaffold_571	1	RF0133
scaffold_585	2	RF0142(2)
scaffold_595	1	RF0015
scaffold_614	2	RF0165,RF0027
scaffold_617	1	RF0024
scaffold_642	1	RF0065
scaffold_645	1	RF0007
scaffold_649	1	RF0165
scaffold_659	1	RF0007
scaffold_663	1	RF0024
scaffold_671	1	RF0057
scaffold_677	1	RF0091
scaffold_680	1	RF0144
scaffold_682	1	RF0024
scaffold_683	1	RF0142
scaffold_685	2	RF0038,RF0144
scaffold_691	1	RF0017
scaffold_701	1	RF0144
scaffold_714	1	RF0148
scaffold_719	1	RF0148
scaffold_726	1	RF0142
scaffold_741	2	RF0142,RF0024
scaffold_743	1	RF0142
scaffold_758	1	RF0142
scaffold_767	1	RF0102
scaffold_783	1	RF0142
scaffold_785	1	RF0139
scaffold_797	1	RF0142
scaffold_827	1	RF0007
scaffold_838	1	RF0007
scaffold_840	2	RF0126,RF0128
scaffold_870	1	RF0142
scaffold_873	1	RF0139
scaffold_907	1	RF0007
scaffold_923	1	RF0145
scaffold_966	1	RF0142
scaffold_969	1	RF0024
scaffold_1008	1	RF0007
scaffold_1010	1	RF0007
scaffold_1037	1	RF0007
scaffold_1044	1	RF0142
scaffold_1064	1	RF0142
scaffold_1081	1	RF0142
scaffold_1104	1	RF0007
scaffold_1105	1	RF0007
scaffold_1134	1	RF0133
scaffold_1137	1	RF0147
scaffold_1140	1	RF0035
scaffold_1161	1	RF0142
scaffold_1179	1	RF0007
scaffold_1199	1	RF0142
scaffold_1226	1	RF0142
scaffold_1259	1	RF0063
scaffold_1287	1	RF0142
scaffold_1318	2	RF0148(2)
scaffold_1330	1	RF0148
scaffold_1359	1	RF0024
scaffold_1417	2	RF0142,RF0148
scaffold_1429	1	RF0140
scaffold_1441	1	RF0142
scaffold_1504	1	RF0024
scaffold_1506	1	RF0038
scaffold_1564	1	RF0066
scaffold_1623	1	RF0142
scaffold_1633	1	RF0024
scaffold_1644	1	RF0142
scaffold_1646	1	RF0142
scaffold_1679	1	RF0142
scaffold_1715	1	RF0142
scaffold_1733	1	RF0142
scaffold_1820	1	RF0148
scaffold_1839	1	RF0146
scaffold_1867	1	RF0142
scaffold_1876	1	RF0142
scaffold_1882	1	RF0148
scaffold_2028	1	RF0142
scaffold_2069	1	RF0142
scaffold_2170	1	RF0133
scaffold_2258	1	RF0154
scaffold_2287	1	RF0002
scaffold_2347	1	RF0102
scaffold_2447	1	RF0024
scaffold_2450	1	RF0141
scaffold_2485	1	RF0142
scaffold_2547	1	RF0024
scaffold_2594	1	RF0017
scaffold_2600	1	RF0142
scaffold_2641	1	RF0024
scaffold_2646	1	RF0142
scaffold_2647	1	RF0154
scaffold_2723	1	RF0142
scaffold_2767	1	RF0024
scaffold_2811	1	RF0142
scaffold_2813	1	RF0142
scaffold_2890	1	RF0142
scaffold_2893	1	RF0142
scaffold_2970	1	RF0142
scaffold_2982	1	RF0142
scaffold_3113	1	RF0165
scaffold_3136	1	RF0154
scaffold_3225	1	RF0142
scaffold_3316	1	RF0024
scaffold_3317	1	RF0144
scaffold_3503	1	RF0142
scaffold_3584	1	RF0142
scaffold_3698	1	RF0142
scaffold_3714	1	RF0148
scaffold_3722	1	RF0142
scaffold_3795	1	RF0007
scaffold_3832	1	RF0148
scaffold_3852	1	RF0063
scaffold_3860	1	RF0142
scaffold_3914	1	RF0070
scaffold_3918	1	RF0142
scaffold_3936	1	RF0142
scaffold_4033	1	RF0024
scaffold_4100	1	RF0024
scaffold_4116	1	RF0142
scaffold_4266	1	RF0142
scaffold_4411	2	RF0063,RF0139
scaffold_4475	1	RF0142
scaffold_4503	1	RF0142
scaffold_4529	1	RF0142
scaffold_4666	1	RF0144
scaffold_4695	1	RF0007
scaffold_4857	1	RF0007
scaffold_4990	1	RF0024
scaffold_5080	1	RF0148
scaffold_5107	1	RF0165
scaffold_5181	1	RF0142
scaffold_5302	1	RF0148
scaffold_5578	1	RF0148
scaffold_5619	1	RF0142
scaffold_5641	1	RF0007
scaffold_5689	1	RF0007
scaffold_5755	1	RF0142
scaffold_5764	1	RF0024
scaffold_5878	1	RF0142
scaffold_6660	1	RF0142
scaffold_6811	1	RF0142
scaffold_6953	1	RF0148
scaffold_7040	1	RF0045
scaffold_7111	1	RF0142
scaffold_7278	1	RF0007
scaffold_7678	1	RF0007
scaffold_7802	1	RF0164
scaffold_8400	1	RF0007
scaffold_9274	1	RF0142
scaffold_9666	1	RF0142
scaffold_10059	1	RF0024
scaffold_10625	1	RF0155
scaffold_10971	1	RF0142
scaffold_11213	1	RF0139
scaffold_11341	1	RF0148
scaffold_12446	1	RF0060
scaffold_13213	1	RF0148
scaffold_13436	1	RF0024
scaffold_13466	1	RF0154
scaffold_15818	1	RF0148
