Sample	Bin	Taxonomic description	Relative abundance (%)	# contigs	Total length (bp)	Largest contig (bp)	N50	L50	GC%	Coverage	# ORFs	# SSUs	Circular	Putative virus	# reads recruited	% reads assigned	Lowest-rank taxon to which ≥ 75% reads assigned	TaxID	Rate %	Taxon of any rank to which most reads assigned	TaxID	Rate %	CheckM-inferred UID and lineage	Completeness	Contamination	Heterogeneity	5S rRNA	16S rRNA	23S rRNA	# of 20 tRNAs
3	1	bacterium LF-3	4.77	70	2,903,043	 325,200 	59,776	12	29.43	142.66	3081	7	no	no	 2,804,565 	81.5	bacterium LF-3	1504823	94.35	bacterium LF-3	1504823	94.35	2372: k__Bacteria	98.11	0	0	yes	no	no	17
3	2	unidentified organism dm1 (Clostridiales-like)	4.44	30	2,925,762	 307,477 	118,177	8	55.18	131.61	2575	1	no	no	 2,634,758 	13.88	Clostridiales	186802	95.08	Subdoligranulum variabile DSM 15176	411471	19.36	1212: o__Clostridiales	98.64	0.68	0	no	no	no	18
3	3	Ruminococcus sp. CAG:108	4.27	16	2,214,219	 349,373 	250,017	4	40.84	167.33	2057	2	no	no	 2,524,833 	84.73	Ruminococcus sp. CAG:108	1262950	90.82	Ruminococcus sp. CAG:108	1262950	90.82	1212: o__Clostridiales	99.33	1.01	0	yes	yes	yes	19
3	4	Bifidobacterium longum	3.18	55	2,565,541	 238,475 	83,358	11	59.65	107.53	2252	1	no	no	 1,879,101 	96.92	Bifidobacterium longum	216816	89.7	Bifidobacterium longum subsp. longum 2-2B	1161745	5.31	1462: f__Bifidobacteriaceae	100	0.13	100	no	no	yes	17
3	5	Clostridiales bacterium	3.01	70	2,928,982	 128,414 	61,880	19	36.93	89.33	2816	3	no	no	 1,787,541 	93.04	Clostridiales	186802	99.14	Clostridium sp. SS2/1	411484	24.25	1212: o__Clostridiales	99.33	1.34	0	no	no	no	16
3	6	Blautia sp. CAG:37	2.5	72	2,955,462	 211,954 	77,355	13	48.38	73.46	2599	3	no	no	 1,478,300 	84.68	Blautia sp. CAG:37	1262757	95.41	Blautia sp. CAG:37	1262757	95.41	1226: o__Clostridiales	97.68	2.53	50	no	no	no	17
3	7	Eubacterium sp.	1.94	38	2,954,103	 276,247 	131,646	8	41.44	56.92	2761	4	no	no	 1,149,365 	88.7	Eubacterium	1730	96.2	Eubacterium rectale CAG:36	1263079	48.27	1286: f__Lachnospiraceae	99.52	0	0	no	no	yes	14
3	8	crAssphage	1.89	1	97,102	 97,102 	97,102	1	29.16	1689.86	90	0	no	yes	 1,110,145 	95.23	uncultured phage crAssphage	1211417	99.77	uncultured phage crAssphage	1211417	99.77	1: root	0	0	0	no	no	no	0
3	9	Firmicutes bacterium CAG:24	1.5	69	2,814,211	 164,680 	77,958	15	48.54	46.17	2468	1	no	no	 902,262 	90.54	Firmicutes bacterium CAG:24	1263012	96.21	Firmicutes bacterium CAG:24	1263012	96.21	1255: f__Lachnospiraceae	96.93	1.7	50	no	no	no	16
3	10	putative virus ph22	1.47	1	60,846	 60,846 	60,846	1	56.73	2095.21	75	0	yes	yes	 875,044 	1.333	Bilophila wadsworthia	35833	90.22	Bilophila wadsworthia ATCC 49260	1408428	70.33	1: root	0	0	0	no	no	no	0
3	11	putative virus ph1 (crish A)	1.06	1	84,557	 84,557 	84,557	1	36.17	1090.94	108	0	yes	yes	 623,899 	0.023	Proteobacteria	1224	76.55	Enterobacter sp. E20	1560339	30.34	1: root	0	0	0	no	no	no	0
3	12	Blautia sp. CAG:52	1.03	103	2,547,125	 114,238 	40,820	19	44.96	35.21	2296	5	no	no	 611,426 	92.53	Blautia sp. CAG:52	1262758	84.46	Blautia sp. CAG:52	1262758	84.46	1226: o__Clostridiales	93.99	0.63	0	no	no	no	17
3	13	Adlercreutzia equolifaciens	0.71	203	2,504,315	 88,029 	24,879	32	63.32	24.73	2199	1	no	no	 424,449 	72.12	Adlercreutzia equolifaciens	446660	95.96	Adlercreutzia equolifaciens DSM 19450	1384484	95.96	2112: p__Actinobacteria	95.7	2.42	0	no	no	no	13
3	14	Collinsella sp.	0.69	238	2,284,083	 74,077 	17,084	38	60.12	26.4	2086	2	no	no	 413,728 	82.09	Collinsella	102106	94.06	Collinsella aerofaciens ATCC 25986	411903	32.87	2112: p__Actinobacteria	98.27	3.23	0	no	yes	no	14
3	15	Firmicutes bacterium CAG:56	0.55	345	2,074,210	 63,782 	8,205	69	44.9	23.17	1794	1	no	no	 331,148 	93.41	Firmicutes bacterium CAG:56	1263031	96.19	Firmicutes bacterium CAG:56	1263031	96.19	1226: o__Clostridiales	75.13	1.9	60	no	no	no	15
3	16	unidentified organism dm4	0.48	497	2,102,375	 35,896 	5,897	99	55.91	19.85	2043	1	no	no	 287,498 	4.895	Clostridiales	186802	92.48	Eubacterium desmolans ATCC 43058	1408437	54.7	1212: o__Clostridiales	83.56	1.46	20	no	no	no	13
3	17	Oscillibacter sp. ER4	0.44	339	1,776,740	 25,423 	6,695	79	59.27	21.7	1841	1	no	no	 269,404 	88.12	Oscillibacter sp. ER4	1519439	97.21	Oscillibacter sp. ER4	1519439	97.21	1212: o__Clostridiales	91.16	1.01	0	no	no	no	9
3	18	putative virus ph18	0.35	2	273,226	 174,295 	174,295	1	47.25	112.22	289	0	no	yes	 208,813 	0.108	Faecalibacterium prausnitzii	853	84.07	Faecalibacterium prausnitzii M21/2	411485	82.74	1: root	4.17	0	0	no	no	no	9
3	19	putative virus ph5	0.26	1	153,909	 153,909 	153,909	1	41.41	148.44	207	0	yes	yes	 155,020 	0.068	Bacteria	2	100	Parabacteroides distasonis str. 3776 D15 iv	1339343	25.47	1: root	0	0	0	no	no	no	1
3	20	unidentified organism	0.18	563	1,219,684	 14,295 	2,410	160	53.95	13.13	1317	1	no	no	 111,678 	3.002	Firmicutes	1239	79.33	Oscillibacter sp. ER4	1519439	28	1212: o__Clostridiales	49.39	0.22	0	no	no	no	7
3	21	putative virus ph6 (crish C)	0.17	1	93,220	 93,220 	93,220	1	32.93	160.22	87	0	no	yes	 101,072 	0.013	Proteobacteria	1224	78.57	Enterobacter sp. E20	1560339	21.43	1: root	0	0	0	no	no	no	0
3	22	Escherichia coli	0.17	778	1,293,416	 7,119 	1,669	263	51.16	11.27	1291	0	no	no	 102,579 	99.45	Escherichia coli	562	95.47	Escherichia coli	562	19.14	5162: f__Enterobacteriaceae	33.84	0.76	0	no	no	no	2
3	23	putative virus ph3 (crish E)	0.16	1	109,873	 109,873 	109,873	1	32.65	125.38	110	0	no	yes	 93,182 	0.025	Bacteria	2	100	Mycobacterium tuberculosis	1773	16.67	0: root	0	0	0	no	no	no	6
3	24	putative virus ph7 (crish D)	0.15	1	99,504	 99,504 	99,504	1	32.6	128.66	102	0	yes	yes	 86,489 	69.89	Veillonella sp. CAG:933	1262980	99.42	Veillonella sp. CAG:933	1262980	99.42	0: root	0	0	0	no	no	no	0
3	25	putative virus ph11 (crish F)	0.08	7	93,095	 32,601 	21,406	2	31.65	70.34	84	0	no	yes	 44,335 	0.02	Gammaproteobacteria	1236	77.78	Enterobacter sp. E20	1560339	44.44	0: root	0	0	0	no	no	no	2
