id	nhit	hits
scaffold_0	3	126324,113068,16658
scaffold_1	4	145094,28721,131081,139406
scaffold_2	1	145640
scaffold_3	5	139406,15552,21259,131238,123889
scaffold_4	3	134631,134633,16084
scaffold_5	6	12594,139293,110567,13688,151354,17248
scaffold_8	4	146304,134296,135975,134325
scaffold_9	4	126324,120647,150230,145640
scaffold_10	11	135989,133214,133212,133217,133209,135984,135985,135987,135990,133220,135052
scaffold_11	8	133258,145094,135574,123884,139411,129799,132167,27058
scaffold_13	2	126324,145094
scaffold_16	5	110567,146204,19088,27716,131160
scaffold_17	1	26737
scaffold_18	2	126324,154566
scaffold_19	1	126324
scaffold_20	8	14346,128524,134337,135984,135985,135986,27058,126811
scaffold_21	2	131316,19088
scaffold_23	2	126324,151354
scaffold_24	5	112088,134337,126814,115548,124953
scaffold_27	2	21954,123889
scaffold_32	9	133207,133212,133227,28437,133223,133218,133219,134770,133220
scaffold_33	4	136581,122596,138438,22510
scaffold_35	1	126814
scaffold_37	1	115548
scaffold_39	1	27889
scaffold_40	4	122884,122814,13688,14439
scaffold_41	5	14404,110567,13688,139324,14401
scaffold_42	2	136581,12594
scaffold_43	1	114667
scaffold_45	2	128524,126814
scaffold_47	1	113068
scaffold_48	5	134296,132147,122976,134325,125231
scaffold_49	1	14439
scaffold_50	2	123884,123889
scaffold_51	2	156117,154076
scaffold_53	1	139520
scaffold_55	1	110567
scaffold_56	3	139413,139411,139414
scaffold_57	1	139293
scaffold_58	1	19088
scaffold_62	2	126324,21954
scaffold_63	2	139293,110293
scaffold_65	2	123884,123889
scaffold_68	1	13688
scaffold_69	1	110567
scaffold_71	2	146304,135987
scaffold_74	2	122799,128524
scaffold_76	1	123884
scaffold_79	2	12594,135987
scaffold_81	1	123889
scaffold_82	2	139293,145640
scaffold_84	1	112088
scaffold_86	1	145094
scaffold_88	2	132147,15706
scaffold_89	1	26737
scaffold_91	2	128367,128272
scaffold_93	1	139293
scaffold_94	3	143877,123884,123889
scaffold_96	1	146308
scaffold_98	2	128524,139473
scaffold_99	2	123171,139473
scaffold_101	1	122884
scaffold_102	1	126814
scaffold_104	1	146204
scaffold_106	5	135984(3),135989,135985
scaffold_107	1	110293
scaffold_111	1	21524
scaffold_112	1	120670
scaffold_117	30	15593(2),15629,15530,15627,15459,15625,15538,15518,15557,15645,15510,15513,15559,15517,139540,139524,139525,15584,15520,15522,15523,15524,15527,15634,15635,15463,15462,15465,139495
scaffold_118	1	126811
